name,neighborhood,avg_rating,#_of_ratings,avg_cost,cash_cards?,avg_cost_2
Grand'Elias,Pena,-,0,30 € for two people (approx.),Cash and Cards accepted,30
Planalto,Praça de Espanha,3.5,15,18 € for two people (approx.),Cash and Debit Cards accepted,18
Stella,Queluz,3.2,1,12 € for two people (approx.),Cash and Debit Cards accepted,12
Aroma Pizzaria,Entrecampos,-,2,20 € for two people (approx.),Cash and Cards accepted,20
Leitaria Martins,Ajuda,-,1,8 € for two people (approx.),Cash only,8
Pizzaria Granado,Amora,3.8,51,25 € for two people (approx.),Cash only,25
Café Belmar,Venda Nova,-,0,15 € for two people (approx.),Cash only,15
Leitaria Pina Manique,Benfica,3.2,0,20 € for two people (approx.),Cash and Debit Cards accepted,20
Bolas e Nattas,Cacilhas,3.7,27,6 € for two people (approx.),Cash and Debit Cards accepted,6
Kai Fu,São Domingos de Rana,2.4,156,25 € for two people (approx.),Cash and Cards accepted,25
Mel Tejo,Corroios,-,0,6 € for two people (approx.),Cash only,6
El Negro Taquería,Carcavelos,3.9,41,25 € for two people (approx.),Cash and Debit Cards accepted,25
Aroma,Cascais Centro,4.0,98,20 € for two people (approx.),Cards only,20
Picadilly,Almada Centro,-,3,25 € for two people (approx.),Cash and Cards accepted,25
O Casal,Bobadela,-,1,8 € for two people (approx.),Cash only,8
Mez Cais LX,Alcântara,4.1,"1,294",30 € for two people (approx.),Cash and Debit Cards accepted,30
Confraria do Polvo,Oeiras e São Julião da Barra,4.0,84,30 € for two people (approx.),Cash and Cards accepted,30
O Barracão,Torres Vedras Centro,4.2,153,25 € for two people (approx.),Cash and Cards accepted,25
Tascantiga Sintra,Sintra Centro,4.2,180,30 € for two people (approx.) with alcohol,Debit Cards accepted,30
Johnny 1,Torres Vedras Centro,-,0,6 € for two people (approx.),Cash only,6
Paleta de Sabores,Camarate,3.5,6,8 € for two people (approx.),Cash only,8
Trilândia,Massamá,3.7,45,25 € for two people (approx.),Cash and Debit Cards accepted,25
Cantinho da Maria,Poceirão,-,0,25 € for two people (approx.),Cash and Cards accepted,25
David,Benfica,4.1,142,40 € for two people (approx.),Cash and Cards accepted,40
O Xico - Restaurante & Marisqueira,Paço de Arcos,3.9,144,35 € for two people (approx.),Cash and Cards accepted,35
Ruck ClubHouse,Ajuda,-,3,18 € for two people (approx.),Cash and Cards accepted,18
Ali Kebab e Cafe,Damaia,-,0,6 € for two people (approx.),Cash only,6
Mokuzai Sushi,Paço de Arcos,4.3,538,40 € for two people (approx.),Cash and Debit Cards accepted,40
Maria Peixeira,Praça de Espanha,4.0,45,34 € for two people (approx.),Cash and Cards accepted,34
Merendas,Almada Centro,-,1,6 € for two people (approx.),Cash only,6
Café Trevo,Linda-a-Velha,-,0,6 € for two people (approx.),Cash only,6
Pastelaria Nortenha,Póvoa de Santo Adrião,3.3,4,6 € for two people (approx.),Debit Cards accepted,6
Pap's Dog Cachorros Quentes,Venteira,3.6,11,18 € for two people (approx.),Cash and Debit Cards accepted,18
O Rei da Pescada,Saldanha,3.6,31,30 € for two people (approx.),Cash and Cards accepted,30
Aromas,Benfica,3.4,7,8 € for two people (approx.),Cash only,8
Cantinho 75,Marquês de Pombal,3.5,9,30 € for two people (approx.),Cash and Debit Cards accepted,30
Ginjinha das Gáveas,Bairro Alto,3.8,32,20 € for two people (approx.) with alcohol,Cash only,20
O Petisco Snack-Bar,Linda-a-Velha,-,3,8 € for two people (approx.),Cash only,8
O Calhariz,Ajuda,3.2,0,5 € for two people (approx.),Cash only,5
Planeta Bio,Avenida da Liberdade,4.1,154,20 € for two people (approx.),Cash and Debit Cards accepted,20
Bar Chafariz - Pestana Sintra Golf,Abrunheira,-,0,20 € for two people (approx.) with alcohol,Cash and Cards accepted,20
Pôr do Sol,Prior Velho,3.5,8,12 € for two people (approx.),Cash only,12
Oriental,Barreiro Centro,-,0,25 € for two people (approx.),Cash only,25
Doces & Salgados da Tina,Linda-a-Velha,3.5,6,8 € for two people (approx.),Cash only,8
Páteo Cultural,Campo Grande,3.3,5,8 € for two people (approx.),Cash only,8
Casa dos Frangos de Benfica,Benfica,3.7,20,16 € for two people (approx.),Cash only,16
